Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
2 x Hawk,477,1060,1415,0.0680,0.3143,5.2592,0.4161,1.2492,2.9115
2 x Dove,556,1165,1560,0.0583,0.3112,5.3095,0.4053,1.2481,2.9157
2 x Squab,605,1225,1645,0.0538,0.3097,5.3339,0.3983,1.2508,2.8991
2 x Grosbeak,636,1255,1695,0.0512,0.3088,5.3526,0.3969,1.2477,2.9171
2 x Gannet,666,1295,1745,0.0489,0.3078,5.3699,0.3952,1.2457,2.9277
2 x Starling,716,1350,1820,0.0456,0.3065,5.3941,0.3914,1.2453,2.9307
2 x Drake,795,1440,1945,0.0411,0.3047,5.4308,0.3869,1.2436,2.9404
2 x Tern,795,1430,1925,0.0412,0.3070,5.3838,0.3742,1.2684,2.8023
2 x Ruddy,900,1535,2080,0.0365,0.3048,5.4287,0.3707,1.2642,2.8249
2 x Rail,954,1585,2150,0.0345,0.3035,5.4458,0.3656,1.2683,2.8025
2 x Ortolan,1033,1665,2260,0.0320,0.3020,5.4727,0.3621,1.2686,2.8001
2 x Bluejay,1113,1740,2365,0.0298,0.3007,5.4995,0.3598,1.2676,2.8060
