Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
1 x Grosbeak,636,640,865,0.1018,0.4894,3.3753,0.4473,1.4291,2.2222
1 x Gannet,666,660,890,0.0972,0.4874,3.3888,0.4432,1.4262,2.2313
1 x Starling,716,690,930,0.0907,0.4849,3.4083,0.4362,1.4245,2.2370
1 x Drake,795,735,995,0.0818,0.4812,3.4376,0.4272,1.4210,2.2487
1 x Tern,795,730,985,0.0819,0.4856,3.4069,0.4147,1.4480,2.1626
1 x Ruddy,900,785,1065,0.0726,0.4813,3.4423,0.4065,1.4416,2.1828
1 x Rail,954,810,1100,0.0686,0.4788,3.4575,0.3995,1.4444,2.1730
1 x Ortolan,1033,850,1155,0.0636,0.4757,3.4796,0.3934,1.4432,2.1760
1 x Bluejay,1113,890,1210,0.0593,0.4732,3.5013,0.3890,1.4409,2.1837
2 x Hawk,477,1070,1430,0.0680,0.3515,4.6802,0.4158,1.2872,2.7430
2 x Dove,556,1175,1580,0.0583,0.3484,4.7198,0.4049,1.2861,2.7463
2 x Squab,605,1235,1660,0.0538,0.3469,4.7390,0.3979,1.2889,2.7321
2 x Grosbeak,636,1275,1715,0.0511,0.3460,4.7537,0.3966,1.2858,2.7476
2 x Gannet,666,1310,1765,0.0489,0.3450,4.7674,0.3949,1.2838,2.7571
2 x Starling,716,1370,1845,0.0456,0.3438,4.7864,0.3911,1.2834,2.7593
2 x Drake,795,1460,1970,0.0411,0.3419,4.8152,0.3866,1.2817,2.7679
2 x Tern,795,1445,1950,0.0411,0.3442,4.7776,0.3739,1.3066,2.6456
2 x Ruddy,900,1555,2105,0.0365,0.3420,4.8130,0.3704,1.3023,2.6659
2 x Rail,954,1610,2185,0.0345,0.3408,4.8263,0.3653,1.3065,2.6456
2 x Ortolan,1033,1690,2295,0.0320,0.3392,4.8473,0.3618,1.3068,2.6436
2 x Bluejay,1113,1765,2400,0.0298,0.3380,4.8683,0.3595,1.3057,2.6489
