Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km]
4 x Grosbeak,636,2525,3395,0.0259,0.3145,5.2661,0.3050,1.2429,3.0479,0.2790,0.8383,-1.0160
4 x Gannet,666,2595,3495,0.0247,0.3140,5.2746,0.3041,1.2420,3.0523,0.2793,0.8379,-1.0169
4 x Starling,716,2710,3655,0.0231,0.3134,5.2862,0.3022,1.2417,3.0552,0.2791,0.8382,-1.0205
4 x Drake,795,2890,3900,0.0209,0.3124,5.3038,0.3000,1.2409,3.0612,0.2790,0.8383,-1.0247
4 x Tern,795,2860,3865,0.0209,0.3136,5.2786,0.2949,1.2514,3.0190,0.2740,0.8475,-1.0436
4 x Ruddy,900,3085,4170,0.0185,0.3125,5.3005,0.2930,1.2494,3.0295,0.2745,0.8467,-1.0465
4 x Rail,954,3190,4310,0.0175,0.3119,5.3081,0.2907,1.2511,3.0247,0.2733,0.8489,-1.0540
4 x Ortolan,1033,3345,4525,0.0163,0.3111,5.3207,0.2890,1.2511,3.0265,0.2728,0.8497,-1.0589
4 x Bluejay,1113,3495,4740,0.0152,0.3105,5.3333,0.2879,1.2506,3.0305,0.2728,0.8498,-1.0622
