Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
4 x Hawk,477,2120,2835,0.0343,0.3104,5.2900,0.3530,1.1842,3.1218
4 x Dove,556,2330,3125,0.0294,0.3089,5.3145,0.3473,1.1841,3.1200
4 x Squab,605,2450,3290,0.0272,0.3081,5.3251,0.3433,1.1865,3.1033
4 x Grosbeak,636,2525,3395,0.0259,0.3077,5.3351,0.3429,1.1844,3.1166
4 x Gannet,666,2595,3495,0.0247,0.3072,5.3440,0.3421,1.1832,3.1237
4 x Starling,716,2710,3655,0.0231,0.3066,5.3556,0.3401,1.1832,3.1234
4 x Drake,795,2890,3900,0.0208,0.3056,5.3735,0.3378,1.1824,3.1280
4 x Tern,795,2860,3865,0.0208,0.3068,5.3420,0.3286,1.2000,3.0121
4 x Ruddy,900,3085,4170,0.0185,0.3057,5.3647,0.3271,1.1974,3.0278
4 x Rail,954,3190,4310,0.0175,0.3051,5.3711,0.3239,1.2008,3.0056
4 x Ortolan,1033,3345,4525,0.0162,0.3044,5.3833,0.3218,1.2015,3.0005
4 x Bluejay,1113,3495,4740,0.0151,0.3037,5.3961,0.3206,1.2010,3.0028
