Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
1 x Linnet,336,435,580,0.1914,0.4838,3.4276,0.5498,1.4933,2.1685
1 x Ibis,397,485,645,0.1621,0.4776,3.4747,0.5197,1.4884,2.1819
1 x Hawk,477,540,720,0.1353,0.4707,3.5281,0.4927,1.4818,2.2015
1 x Dove,556,595,795,0.1159,0.4645,3.5743,0.4725,1.4770,2.2141
1 x Squab,605,625,840,0.1069,0.4614,3.5982,0.4616,1.4768,2.2123
1 x Grosbeak,636,640,865,0.1016,0.4596,3.6143,0.4573,1.4735,2.2244
1 x Gannet,666,660,890,0.0971,0.4577,3.6297,0.4531,1.4709,2.2326
1 x Starling,716,690,930,0.0905,0.4552,3.6521,0.4462,1.4690,2.2388
1 x Drake,795,735,995,0.0816,0.4514,3.6860,0.4372,1.4654,2.2509
1 x Tern,795,730,985,0.0818,0.4558,3.6522,0.4278,1.4852,2.1796
1 x Ruddy,900,785,1065,0.0725,0.4514,3.6929,0.4193,1.4795,2.1990
1 x Rail,954,810,1100,0.0685,0.4489,3.7109,0.4131,1.4806,2.1926
1 x Ortolan,1033,850,1155,0.0635,0.4458,3.7367,0.4073,1.4788,2.1970
1 x Bluejay,1113,890,1210,0.0592,0.4433,3.7618,0.4029,1.4764,2.2049
