Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
6 x Tern,795,3890,5000,0.0140,0.1917,8.6561,0.3060,1.1980,3.1338
6 x Ruddy,900,4000,5000,0.0124,0.1910,8.6966,0.3049,1.1964,3.1508
6 x Rail,954,4000,5000,0.0118,0.1906,8.7104,0.3030,1.1981,3.1361
6 x Ortolan,1033,4000,5000,0.0109,0.1900,8.7335,0.3017,1.1983,3.1348
6 x Bluejay,1113,4000,5000,0.0102,0.1896,8.7568,0.3009,1.1980,3.1387
