Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
4 x Gannet,666,2595,3495,0.0247,0.3098,5.2847,0.3373,1.1873,3.0563
4 x Starling,716,2710,3655,0.0231,0.3092,5.2961,0.3354,1.1872,3.0561
4 x Drake,795,2890,3900,0.0208,0.3083,5.3136,0.3331,1.1864,3.0605
4 x Tern,795,2860,3865,0.0208,0.3094,5.2844,0.3246,1.2028,2.9561
4 x Ruddy,900,3085,4170,0.0185,0.3083,5.3065,0.3230,1.2003,2.9705
4 x Rail,954,3190,4310,0.0175,0.3077,5.3129,0.3199,1.2035,2.9505
4 x Ortolan,1033,3345,4525,0.0162,0.3070,5.3250,0.3179,1.2040,2.9461
4 x Bluejay,1113,3495,4740,0.0151,0.3063,5.3375,0.3168,1.2035,2.9484
