Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
1 x Squab,605,625,840,0.1073,0.5112,3.2464,0.4417,1.4170,2.2998
1 x Grosbeak,636,640,865,0.1020,0.5094,3.2599,0.4375,1.4135,2.3123
1 x Gannet,666,660,890,0.0975,0.5074,3.2726,0.4333,1.4108,2.3213
1 x Starling,716,690,930,0.0909,0.5049,3.2907,0.4264,1.4089,2.3283
1 x Drake,795,735,995,0.0820,0.5012,3.3180,0.4175,1.4053,2.3411
1 x Tern,795,730,985,0.0821,0.5057,3.2872,0.4077,1.4271,2.2656
1 x Ruddy,900,785,1065,0.0728,0.5014,3.3203,0.3993,1.4212,2.2862
1 x Rail,954,810,1100,0.0687,0.4989,3.3342,0.3930,1.4229,2.2795
1 x Ortolan,1033,850,1155,0.0637,0.4958,3.3547,0.3871,1.4212,2.2843
1 x Bluejay,1113,890,1210,0.0594,0.4932,3.3749,0.3827,1.4188,2.2929
2 x Hawk,477,1070,1430,0.0683,0.3714,4.4678,0.4055,1.2726,2.8772
2 x Dove,556,1175,1580,0.0585,0.3683,4.5035,0.3949,1.2710,2.8835
2 x Squab,605,1235,1660,0.0540,0.3668,4.5201,0.3884,1.2729,2.8736
2 x Grosbeak,636,1275,1715,0.0514,0.3659,4.5340,0.3868,1.2702,2.8878
2 x Gannet,666,1310,1765,0.0491,0.3649,4.5467,0.3850,1.2685,2.8969
2 x Starling,716,1370,1845,0.0458,0.3637,4.5639,0.3813,1.2679,2.9006
2 x Drake,795,1460,1970,0.0414,0.3618,4.5902,0.3768,1.2662,2.9104
2 x Tern,795,1445,1950,0.0413,0.3642,4.5525,0.3669,1.2858,2.8023
2 x Ruddy,900,1555,2105,0.0366,0.3620,4.5850,0.3632,1.2821,2.8227
2 x Rail,954,1610,2185,0.0346,0.3608,4.5966,0.3588,1.2850,2.8061
2 x Ortolan,1033,1690,2295,0.0321,0.3592,4.6157,0.3555,1.2849,2.8059
2 x Bluejay,1113,1765,2400,0.0299,0.3580,4.6348,0.3532,1.2838,2.8121
