Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km]
1 x Squab,605,625,840,0.1072,0.4993,3.3280,0.4180,1.4799,2.2139,0.3108,0.8969,-0.6173
1 x Grosbeak,636,640,865,0.1019,0.4975,3.3418,0.4135,1.4767,2.2232,0.3116,0.8955,-0.6185
1 x Gannet,666,660,890,0.0973,0.4955,3.3550,0.4093,1.4741,2.2307,0.3119,0.8948,-0.6207
1 x Starling,716,690,930,0.0908,0.4930,3.3742,0.4025,1.4722,2.2388,0.3116,0.8954,-0.6262
1 x Drake,795,735,995,0.0819,0.4893,3.4031,0.3935,1.4686,2.2521,0.3116,0.8955,-0.6335
1 x Tern,795,730,985,0.0821,0.4938,3.3736,0.3858,1.4872,2.2107,0.3038,0.9096,-0.6494
1 x Ruddy,900,785,1065,0.0728,0.4894,3.4084,0.3772,1.4816,2.2291,0.3045,0.9083,-0.6561
1 x Rail,954,810,1100,0.0688,0.4869,3.4235,0.3713,1.4824,2.2303,0.3026,0.9117,-0.6650
1 x Ortolan,1033,850,1155,0.0637,0.4838,3.4454,0.3656,1.4805,2.2383,0.3020,0.9128,-0.6723
1 x Bluejay,1113,890,1210,0.0594,0.4813,3.4667,0.3612,1.4781,2.2477,0.3019,0.9130,-0.6779
2 x Hawk,477,1070,1430,0.0681,0.3597,4.6236,0.3812,1.3361,2.7915,0.3130,0.8929,-0.9249
2 x Dove,556,1175,1580,0.0584,0.3566,4.6626,0.3708,1.3343,2.8036,0.3123,0.8942,-0.9368
2 x Squab,605,1235,1660,0.0539,0.3551,4.6816,0.3647,1.3355,2.8041,0.3108,0.8970,-0.9467
2 x Grosbeak,636,1275,1715,0.0512,0.3542,4.6960,0.3629,1.3332,2.8135,0.3115,0.8955,-0.9474
2 x Gannet,666,1310,1765,0.0490,0.3533,4.7094,0.3610,1.3315,2.8205,0.3119,0.8949,-0.9493
2 x Starling,716,1370,1845,0.0457,0.3520,4.7281,0.3574,1.3308,2.8265,0.3116,0.8954,-0.9548
2 x Drake,795,1460,1970,0.0412,0.3501,4.7564,0.3529,1.3291,2.8375,0.3115,0.8956,-0.9617
2 x Tern,795,1445,1950,0.0413,0.3524,4.7216,0.3450,1.3455,2.7857,0.3038,0.9097,-0.9833
2 x Ruddy,900,1555,2105,0.0366,0.3503,4.7562,0.3410,1.3421,2.8022,0.3045,0.9084,-0.9891
2 x Rail,954,1610,2185,0.0346,0.3490,4.7699,0.3372,1.3442,2.7993,0.3026,0.9117,-0.9992
2 x Ortolan,1033,1690,2295,0.0321,0.3475,4.7908,0.3340,1.3438,2.8046,0.3020,0.9129,-1.0066
2 x Bluejay,1113,1765,2400,0.0299,0.3462,4.8114,0.3317,1.3427,2.8122,0.3019,0.9130,-1.0119
