Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km]
1 x Linnet,336,435,580,0.1916,0.4695,3.5436,0.5441,1.5248,2.2094,0.3523,0.9474,-0.6495
1 x Ibis,397,485,645,0.1623,0.4633,3.5942,0.5140,1.5201,2.2276,0.3515,0.9489,-0.6632
1 x Hawk,477,540,720,0.1355,0.4564,3.6514,0.4870,1.5136,2.2507,0.3513,0.9493,-0.6767
1 x Dove,556,595,795,0.1161,0.4502,3.7011,0.4667,1.5089,2.2682,0.3504,0.9508,-0.6902
1 x Squab,605,625,840,0.1071,0.4471,3.7269,0.4558,1.5091,2.2728,0.3486,0.9540,-0.7006
1 x Grosbeak,636,640,865,0.1018,0.4453,3.7441,0.4515,1.5056,2.2831,0.3496,0.9523,-0.7020
1 x Gannet,666,660,890,0.0972,0.4434,3.7607,0.4474,1.5029,2.2911,0.3500,0.9516,-0.7047
1 x Starling,716,690,930,0.0907,0.4409,3.7848,0.4405,1.5010,2.2996,0.3496,0.9522,-0.7111
1 x Drake,795,735,995,0.0818,0.4372,3.8213,0.4315,1.4975,2.3140,0.3495,0.9524,-0.7196
1 x Tern,795,730,985,0.0820,0.4416,3.7855,0.4222,1.5188,2.2689,0.3402,0.9691,-0.7365
1 x Ruddy,900,785,1065,0.0727,0.4373,3.8293,0.4137,1.5129,2.2887,0.3410,0.9676,-0.7444
1 x Rail,954,810,1100,0.0687,0.4348,3.8488,0.4075,1.5143,2.2899,0.3388,0.9715,-0.7544
1 x Ortolan,1033,850,1155,0.0637,0.4316,3.8766,0.4017,1.5126,2.2984,0.3381,0.9729,-0.7628
1 x Bluejay,1113,890,1210,0.0593,0.4291,3.9037,0.3973,1.5102,2.3086,0.3380,0.9730,-0.7693
