Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
4 x Bobolink,1431,4000,5000,0.0124,0.3446,4.8077,0.2983,1.1559,3.1489
4 x Nuthatch,1510,4000,5000,0.0119,0.3440,4.8144,0.2975,1.1558,3.1502
4 x Lapwing,1590,4000,5000,0.0113,0.3435,4.8219,0.2969,1.1553,3.1550
