Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km]
1 x Linnet,336,435,580,0.1915,0.4874,3.4078,0.5269,1.5233,2.1666,0.3351,0.9225,-0.5843
1 x Ibis,397,485,645,0.1623,0.4811,3.4546,0.4971,1.5181,2.1847,0.3345,0.9236,-0.5960
1 x Hawk,477,540,720,0.1355,0.4742,3.5075,0.4701,1.5115,2.2069,0.3343,0.9239,-0.6077
1 x Dove,556,595,795,0.1161,0.4680,3.5535,0.4501,1.5065,2.2241,0.3337,0.9250,-0.6193
1 x Squab,605,625,840,0.1070,0.4650,3.5775,0.4396,1.5058,2.2295,0.3324,0.9274,-0.6281
1 x Grosbeak,636,640,865,0.1018,0.4632,3.5932,0.4351,1.5028,2.2385,0.3331,0.9262,-0.6297
1 x Gannet,666,660,890,0.0972,0.4612,3.6083,0.4308,1.5003,2.2459,0.3334,0.9256,-0.6321
1 x Starling,716,690,930,0.0907,0.4587,3.6307,0.4240,1.4982,2.2543,0.3331,0.9261,-0.6376
1 x Drake,795,735,995,0.0818,0.4550,3.6641,0.4151,1.4946,2.2678,0.3331,0.9262,-0.6451
1 x Tern,795,730,985,0.0820,0.4594,3.6323,0.4081,1.5118,2.2298,0.3260,0.9389,-0.6580
1 x Ruddy,900,785,1065,0.0727,0.4551,3.6725,0.3994,1.5063,2.2481,0.3267,0.9377,-0.6653
1 x Rail,954,810,1100,0.0687,0.4526,3.6906,0.3938,1.5068,2.2504,0.3250,0.9407,-0.6734
1 x Ortolan,1033,850,1155,0.0637,0.4495,3.7162,0.3881,1.5047,2.2589,0.3244,0.9417,-0.6806
1 x Bluejay,1113,890,1210,0.0593,0.4469,3.7410,0.3837,1.5023,2.2686,0.3244,0.9419,-0.6863
2 x Linnet,336,865,1150,0.0960,0.3321,5.0108,0.4314,1.3673,2.7858,0.3351,0.9227,-0.9233
2 x Ibis,397,960,1280,0.0814,0.3290,5.0610,0.4162,1.3653,2.7999,0.3345,0.9238,-0.9356
2 x Hawk,477,1070,1430,0.0680,0.3256,5.1178,0.4026,1.3621,2.8184,0.3343,0.9241,-0.9474
2 x Dove,556,1175,1580,0.0583,0.3225,5.1663,0.3923,1.3602,2.8315,0.3337,0.9252,-0.9594
2 x Squab,605,1235,1660,0.0537,0.3210,5.1909,0.3864,1.3610,2.8335,0.3324,0.9276,-0.9686
2 x Grosbeak,636,1275,1715,0.0511,0.3201,5.2080,0.3844,1.3589,2.8423,0.3330,0.9263,-0.9698
2 x Gannet,666,1310,1765,0.0488,0.3191,5.2242,0.3825,1.3574,2.8492,0.3333,0.9258,-0.9720
2 x Starling,716,1370,1845,0.0456,0.3178,5.2475,0.3789,1.3566,2.8557,0.3331,0.9263,-0.9775
2 x Drake,795,1460,1970,0.0411,0.3160,5.2826,0.3744,1.3548,2.8669,0.3330,0.9264,-0.9847
2 x Tern,795,1445,1950,0.0412,0.3182,5.2443,0.3673,1.3698,2.8197,0.3260,0.9390,-1.0025
2 x Ruddy,900,1555,2105,0.0365,0.3161,5.2867,0.3633,1.3665,2.8361,0.3266,0.9379,-1.0090
2 x Rail,954,1610,2185,0.0345,0.3148,5.3046,0.3596,1.3682,2.8346,0.3250,0.9409,-1.0181
2 x Ortolan,1033,1690,2295,0.0320,0.3133,5.3308,0.3565,1.3677,2.8406,0.3244,0.9419,-1.0253
2 x Bluejay,1113,1765,2400,0.0298,0.3120,5.3565,0.3543,1.3666,2.8485,0.3243,0.9420,-1.0307
