Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
1 x Linnet,336,435,580,0.1914,0.5014,3.3018,0.5379,1.4813,2.1619
1 x Ibis,397,485,645,0.1622,0.4952,3.3456,0.5080,1.4761,2.1766
1 x Hawk,477,540,720,0.1354,0.4883,3.3951,0.4809,1.4695,2.1967
1 x Dove,556,595,795,0.1160,0.4821,3.4379,0.4609,1.4645,2.2103
1 x Squab,605,625,840,0.1069,0.4790,3.4601,0.4503,1.4638,2.2107
1 x Grosbeak,636,640,865,0.1017,0.4772,3.4748,0.4459,1.4608,2.2212
1 x Gannet,666,660,890,0.0971,0.4753,3.4891,0.4416,1.4583,2.2290
1 x Starling,716,690,930,0.0906,0.4727,3.5098,0.4348,1.4562,2.2359
1 x Drake,795,735,995,0.0817,0.4690,3.5410,0.4258,1.4526,2.2478
1 x Tern,795,730,985,0.0819,0.4734,3.5103,0.4181,1.4699,2.1877
1 x Ruddy,900,785,1065,0.0726,0.4691,3.5478,0.4095,1.4644,2.2059
1 x Rail,954,810,1100,0.0686,0.4665,3.5645,0.4037,1.4650,2.2024
1 x Ortolan,1033,850,1155,0.0635,0.4634,3.5883,0.3980,1.4629,2.2078
1 x Bluejay,1113,890,1210,0.0592,0.4609,3.6114,0.3936,1.4605,2.2160
2 x Linnet,336,865,1150,0.0959,0.3460,4.7827,0.4423,1.3257,2.7125
2 x Ibis,397,960,1280,0.0813,0.3429,4.8280,0.4270,1.3237,2.7208
2 x Hawk,477,1070,1430,0.0679,0.3394,4.8794,0.4134,1.3206,2.7358
2 x Dove,556,1175,1580,0.0582,0.3363,4.9230,0.4030,1.3186,2.7428
2 x Squab,605,1235,1660,0.0536,0.3348,4.9447,0.3970,1.3195,2.7370
2 x Grosbeak,636,1275,1715,0.0510,0.3339,4.9604,0.3952,1.3173,2.7482
2 x Gannet,666,1310,1765,0.0487,0.3329,4.9752,0.3932,1.3158,2.7557
2 x Starling,716,1370,1845,0.0455,0.3317,4.9962,0.3897,1.3150,2.7596
2 x Drake,795,1460,1970,0.0410,0.3298,5.0278,0.3851,1.3132,2.7686
2 x Tern,795,1445,1950,0.0411,0.3320,4.9906,0.3773,1.3284,2.6851
2 x Ruddy,900,1555,2105,0.0364,0.3299,5.0290,0.3734,1.3251,2.7020
2 x Rail,954,1610,2185,0.0344,0.3286,5.0446,0.3695,1.3269,2.6909
2 x Ortolan,1033,1690,2295,0.0319,0.3270,5.0681,0.3663,1.3264,2.6921
2 x Bluejay,1113,1765,2400,0.0297,0.3258,5.0912,0.3641,1.3253,2.6980
