REDWING	715.5	30	3.922	19	2.352	362.43	445	27.45	11.76	1006.6	646.1	1652.7	15709	15161	860	0.01134	0.08	0.095	0.3378	0.2047
CUCKOO	795	24	4.623	7	3.081	402.86	455	27.74	9.24	1116.1	407.6	1523.8	12658	12300	900	0.01114	0.072	0.086	0.3391	0.2042
DRAKE	795	26	4.442	7	3.454	402.92	468.5	28.13	10.36	1116.3	512.3	1628.6	14286	13836	910	0.01142	0.072	0.086	0.3373	0.2035
MALLARD	795	30	4.135	19	2.482	402.87	494.8	28.95	12.41	1118.9	719.5	1838.4	17482	16872	920	0.01196	0.072	0.086	0.3338	0.2022
COOT	795	36	3.774	1	3.774	402.71	413.9	26.42	3.77	1110.3	87	1197.3	7593	7516	885	0.01092	0.071	0.085	0.3407	0.2065
TERN	795	45	3.376	7	2.25	402.82	430.6	27.01	6.75	1116	217.4	1333.4	10013	9823	890	0.01072	0.072	0.088	0.3421	0.2055
CONDOR	795	54	3.081	7	3.081	402.59	454.8	27.73	9.24	1115.4	407.6	1523.1	12776	12418	900	0.01123	0.072	0.087	0.3386	0.2042
RUDDY	900	45	3.592	7	2.395	456.01	487.5	28.74	7.19	1263.4	246.3	1509.7	11099	10882	960	0.01141	0.063	0.077	0.3374	0.2025
CANARY	900	54	3.279	7	3.279	456	515.1	29.51	9.84	1263.4	461.7	1725.1	14470	14065	950	0.01195	0.063	0.077	0.3339	0.2013
RAIL	954	45	3.698	7	2.466	483.32	516.8	29.59	7.4	1339.1	261.1	1600.2	11764	11535	970	0.01174	0.06	0.073	0.3352	0.2011
CARDINAL	954	54	3.376	7	3.376	483.38	546	30.38	10.13	1339.2	489.4	1828.7	15339	14910	990	0.0123	0.06	0.073	0.3317	0.1999
ORTOLAN	1033.5	45	3.848	7	2.565	523.33	559.5	30.78	7.7	1449.9	292.5	1732.4	12569	12321	1020	0.01222	0.055	0.068	0.3322	0.1992
CURLEW	1033.5	54	3.513	7	3.513	523.41	591.3	31.62	10.54	1450.1	530	1980.1	16609	16144	1040	0.0128	0.055	0.067	0.3287	0.198
BLUEJAY	1113	45	3.995	7	2.664	564.07	603.1	31.96	7.99	1562.8	304.8	1867.6	13552	13284	1070	0.01269	0.051	0.063	0.3293	0.1975
FINCH	1113	54	3.647	19	2.189	564.1	635.6	32.83	10.95	1570.5	559.6	2130.1	17724	17250	1100	0.01329	0.051	0.063	0.3258	0.1962
BUNTING	1192.5	45	4.135	7	2.756	604.3	646.1	33.08	8.27	1674.3	326.2	2000.5	14513	14227	1120	0.01313	0.048	0.059	0.3268	0.1958
GRACKLE	1192.5	54	3.774	19	2.266	604.07	680.7	33.97	11.33	1681.8	599.7	2281.5	18987	18478	1140	0.01376	0.048	0.056	0.3232	0.1945
BITTERN	1272	45	4.27	7	2.847	644.4	689	34.16	8.54	1785.4	348.1	2133.4	15480	15175	1160	0.01356	0.045	0.056	0.3243	0.1943
PHEASANT	1272	54	3.899	19	2.339	644.75	726.4	35.09	11.7	1795	639	2434	19812	19270	1190	0.01421	0.045	0.055	0.3208	0.193
DIPPER	1351	45	4.402	7	2.934	684.86	732.2	35.21	8.8	1897.5	369.7	2267.2	16448	16124	1210	0.01398	0.042	0.053	0.322	0.1928
MARTIN	1351	54	4.018	19	2.41	684.71	771.4	36.16	12.05	1906.3	678.4	2584.6	21036	20461	1230	0.01464	0.042	0.052	0.3185	0.1916
BOBOLINK	1431	45	4.529	7	3.02	724.95	775.1	36.23	9.06	2008.5	391.7	2400.2	17416	17073	1250	0.01438	0.04	0.05	0.3199	0.1915
PLOVER	1431	54	4.135	19	2.482	725.16	817.1	37.22	12.41	2018.9	719.5	2738.4	22296	21685	1275	0.01507	0.04	0.05	0.3164	0.1902
NUTHATCH	1510	45	4.653	7	3.101	765.19	818.1	37.22	9.3	2120	413	2533	18169	17807	1300	0.01477	0.038	0.048	0.3179	0.1902
PARROT	1510	54	4.247	19	2.548	764.98	861.9	38.22	12.74	2129.8	758.3	2888	23508	22865	1320	0.01548	0.038	0.047	0.3144	0.1889
LAPWING	1590	45	4.775	7	3.183	805.84	861.5	38.2	9.55	2232.6	435.1	2667.7	19137	18755	1340	0.01516	0.036	0.045	0.3159	0.1889
FALCON	1590	54	4.359	19	2.616	805.86	908	39.23	13.08	2243.6	799.3	3042.9	24772	24094	1360	0.01589	0.036	0.045	0.3124	0.1877
CHUKAR	1780	84	3.698	19	2.22	902.2	975.7	40.68	11.1	2511.8	575.6	3087.4	23121	22633	1455	0.01628	0.032	0.041	0.3105	0.1859
BLUEBIRD	2156	84	4.069	19	2.441	1092.31	1181.2	44.76	12.21	3041.1	695.9	3737	27384	26794	1625	0.01791	0.027	0.034	0.3033	0.1814
KIWI	2167	72	4.407	7	2.939	1098.27	1145.8	44.07	8.82	3057.7	370.9	3428.6	22632	22306	1610	0.01738	0.026	0.035	0.3056	0.1821
THRASHER	2312	76	4.43	19	2.068	1171.42	1235.2	45.78	10.34	3261.3	499.5	3760.8	25721	25297	1675	0.01815	0.025	0.033	0.3024	0.1803
