,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,1 x Linnet,336,435,580,0.1914,0.5014,3.3018,0.5379,1.4813,2.1619,389.688,48.87,204.0
1,1 x Ibis,397,485,645,0.1622,0.4952,3.3456,0.508,1.4761,2.1766,384.728,49.5,207.0
2,1 x Hawk,477,540,720,0.1354,0.4883,3.3951,0.4809,1.4695,2.1967,379.243,50.216,210.0
3,1 x Dove,556,595,795,0.116,0.4821,3.4379,0.4609,1.4645,2.2103,374.474,50.855,213.0
4,1 x Squab,605,625,840,0.1069,0.479,3.4601,0.4503,1.4638,2.2107,372.069,51.184,214.0
5,1 x Grosbeak,636,640,865,0.1017,0.4772,3.4748,0.4459,1.4608,2.2212,370.583,51.389,215.0
6,1 x Gannet,666,660,890,0.0971,0.4753,3.4891,0.4416,1.4583,2.229,369.086,51.598,216.0
7,1 x Starling,716,690,930,0.0906,0.4727,3.5098,0.4348,1.4562,2.2359,366.988,51.893,217.0
8,1 x Drake,795,735,995,0.0817,0.469,3.541,0.4258,1.4526,2.2478,363.935,52.328,219.0
9,1 x Tern,795,730,985,0.0819,0.4734,3.5103,0.4181,1.4699,2.1877,367.233,51.858,217.0
10,1 x Ruddy,900,785,1065,0.0726,0.4691,3.5478,0.4095,1.4644,2.2059,363.625,52.373,219.0
11,1 x Rail,954,810,1100,0.0686,0.4665,3.5645,0.4037,1.465,2.2024,361.765,52.642,220.0
12,1 x Ortolan,1033,850,1155,0.0635,0.4634,3.5883,0.398,1.4629,2.2078,359.363,52.994,222.0
13,1 x Bluejay,1113,890,1210,0.0592,0.4609,3.6114,0.3936,1.4605,2.216,357.245,53.308,223.0
14,2 x Linnet,336,865,1150,0.0959,0.346,4.7827,0.4423,1.3257,2.7125,268.969,70.804,296.0
15,2 x Ibis,397,960,1280,0.0813,0.3429,4.828,0.427,1.3237,2.7208,266.502,71.459,299.0
16,2 x Hawk,477,1070,1430,0.0679,0.3394,4.8794,0.4134,1.3206,2.7358,263.738,72.208,302.0
17,2 x Dove,556,1175,1580,0.0582,0.3363,4.923,0.403,1.3186,2.7428,261.366,72.863,305.0
18,2 x Squab,605,1235,1660,0.0536,0.3348,4.9447,0.397,1.3195,2.737,260.209,73.187,306.0
19,2 x Grosbeak,636,1275,1715,0.051,0.3339,4.9604,0.3952,1.3173,2.7482,259.448,73.402,307.0
20,2 x Gannet,666,1310,1765,0.0487,0.3329,4.9752,0.3932,1.3158,2.7557,258.673,73.622,308.0
21,2 x Starling,716,1370,1845,0.0455,0.3317,4.9962,0.3897,1.315,2.7596,257.663,73.91,309.0
22,2 x Drake,795,1460,1970,0.041,0.3298,5.0278,0.3851,1.3132,2.7686,256.116,74.357,311.0
23,2 x Tern,795,1445,1950,0.0411,0.332,4.9906,0.3773,1.3284,2.6851,257.925,73.835,309.0
24,2 x Ruddy,900,1555,2105,0.0364,0.3299,5.029,0.3734,1.3251,2.702,256.124,74.355,311.0
25,2 x Rail,954,1610,2185,0.0344,0.3286,5.0446,0.3695,1.3269,2.6909,255.223,74.617,312.0
26,2 x Ortolan,1033,1690,2295,0.0319,0.327,5.0681,0.3663,1.3264,2.6921,254.01,74.973,314.0
27,2 x Bluejay,1113,1765,2400,0.0297,0.3258,5.0912,0.3641,1.3253,2.698,252.968,75.282,315.0
