,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,6 x Tern,795,3890,5000,0.014,0.1917,8.6561,0.306,1.198,3.1338,148.816,1679.927,1940.0
1,6 x Ruddy,900,4000,5000,0.0124,0.191,8.6966,0.3049,1.1964,3.1508,148.198,1686.932,1948.0
2,6 x Rail,954,4000,5000,0.0118,0.1906,8.7104,0.303,1.1981,3.1361,147.925,1690.046,1951.0
3,6 x Ortolan,1033,4000,5000,0.0109,0.19,8.7335,0.3017,1.1983,3.1348,147.497,1694.95,1957.0
4,6 x Bluejay,1113,4000,5000,0.0102,0.1896,8.7568,0.3009,1.198,3.1387,147.145,1699.004,1962.0
