,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,4 x Drake,795,2890,3900,0.0208,0.2944,5.6016,0.313,1.2564,3.0424,0.291,0.8158,-0.8296,229.252,1090.503,1259.0
1,4 x Ruddy,900,3085,4170,0.0184,0.2945,5.5983,0.3051,1.2661,2.9947,0.2859,0.8251,-0.851,229.358,1089.999,1259.0
2,4 x Rail,954,3190,4310,0.0174,0.2939,5.6069,0.3027,1.2681,2.986,0.2845,0.8277,-0.8581,228.949,1091.946,1261.0
3,4 x Ortolan,1033,3345,4525,0.0162,0.2931,5.621,0.3009,1.2682,2.9861,0.284,0.8286,-0.8626,228.35,1094.811,1264.0
4,4 x Bluejay,1113,3495,4740,0.0151,0.2925,5.6351,0.2997,1.2677,2.9897,0.2839,0.8287,-0.8653,227.831,1097.305,1267.0
