,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,4 x Hawk,477,2120,2835,0.0343,0.3104,5.29,0.353,1.1842,3.1218,242.233,799.23,1049.0
1,4 x Dove,556,2330,3125,0.0294,0.3089,5.3145,0.3473,1.1841,3.12,241.089,803.023,1054.0
2,4 x Squab,605,2450,3290,0.0272,0.3081,5.3251,0.3433,1.1865,3.1033,240.537,804.866,1056.0
3,4 x Grosbeak,636,2525,3395,0.0259,0.3077,5.3351,0.3429,1.1844,3.1166,240.155,806.146,1058.0
4,4 x Gannet,666,2595,3495,0.0247,0.3072,5.344,0.3421,1.1832,3.1237,239.76,807.474,1060.0
5,4 x Starling,716,2710,3655,0.0231,0.3066,5.3556,0.3401,1.1832,3.1234,239.267,809.138,1062.0
6,4 x Drake,795,2890,3900,0.0208,0.3056,5.3735,0.3378,1.1824,3.128,238.478,811.815,1065.0
7,4 x Tern,795,2860,3865,0.0208,0.3068,5.342,0.3286,1.2,3.0121,239.649,807.848,1060.0
8,4 x Ruddy,900,3085,4170,0.0185,0.3057,5.3647,0.3271,1.1974,3.0278,238.712,811.019,1064.0
9,4 x Rail,954,3190,4310,0.0175,0.3051,5.3711,0.3239,1.2008,3.0056,238.336,812.299,1066.0
10,4 x Ortolan,1033,3345,4525,0.0162,0.3044,5.3833,0.3218,1.2015,3.0005,237.792,814.157,1068.0
11,4 x Bluejay,1113,3495,4740,0.0151,0.3037,5.3961,0.3206,1.201,3.0028,237.237,816.062,1071.0
