,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,1 x Squab,605,625,840,0.1072,0.4993,3.328,0.418,1.4799,2.2139,0.3108,0.8969,-0.6173,387.337,136.574,343.0
1,1 x Grosbeak,636,640,865,0.1019,0.4975,3.3418,0.4135,1.4767,2.2232,0.3116,0.8955,-0.6185,385.839,137.104,344.0
2,1 x Gannet,666,660,890,0.0973,0.4955,3.355,0.4093,1.4741,2.2307,0.3119,0.8948,-0.6207,384.305,137.651,346.0
3,1 x Starling,716,690,930,0.0908,0.493,3.3742,0.4025,1.4722,2.2388,0.3116,0.8954,-0.6262,382.242,138.394,347.0
4,1 x Drake,795,735,995,0.0819,0.4893,3.4031,0.3935,1.4686,2.2521,0.3116,0.8955,-0.6335,379.184,139.51,350.0
5,1 x Tern,795,730,985,0.0821,0.4938,3.3736,0.3858,1.4872,2.2107,0.3038,0.9096,-0.6494,382.586,138.27,347.0
6,1 x Ruddy,900,785,1065,0.0728,0.4894,3.4084,0.3772,1.4816,2.2291,0.3045,0.9083,-0.6561,378.928,139.604,350.0
7,1 x Rail,954,810,1100,0.0688,0.4869,3.4235,0.3713,1.4824,2.2303,0.3026,0.9117,-0.665,377.124,140.272,352.0
8,1 x Ortolan,1033,850,1155,0.0637,0.4838,3.4454,0.3656,1.4805,2.2383,0.302,0.9128,-0.6723,374.725,141.17,354.0
9,1 x Bluejay,1113,890,1210,0.0594,0.4813,3.4667,0.3612,1.4781,2.2477,0.3019,0.913,-0.6779,372.606,141.973,356.0
10,2 x Hawk,477,1070,1430,0.0681,0.3597,4.6236,0.3812,1.3361,2.7915,0.313,0.8929,-0.9249,278.92,189.66,476.0
11,2 x Dove,556,1175,1580,0.0584,0.3566,4.6626,0.3708,1.3343,2.8036,0.3123,0.8942,-0.9368,276.552,191.284,480.0
12,2 x Squab,605,1235,1660,0.0539,0.3551,4.6816,0.3647,1.3355,2.8041,0.3108,0.897,-0.9467,275.409,192.078,482.0
13,2 x Grosbeak,636,1275,1715,0.0512,0.3542,4.696,0.3629,1.3332,2.8135,0.3115,0.8955,-0.9474,274.638,192.617,484.0
14,2 x Gannet,666,1310,1765,0.049,0.3533,4.7094,0.361,1.3315,2.8205,0.3119,0.8949,-0.9493,273.898,193.138,485.0
15,2 x Starling,716,1370,1845,0.0457,0.352,4.7281,0.3574,1.3308,2.8265,0.3116,0.8954,-0.9548,272.853,193.877,487.0
16,2 x Drake,795,1460,1970,0.0412,0.3501,4.7564,0.3529,1.3291,2.8375,0.3115,0.8956,-0.9617,271.304,194.984,489.0
17,2 x Tern,795,1445,1950,0.0413,0.3524,4.7216,0.345,1.3455,2.7857,0.3038,0.9097,-0.9833,273.195,193.635,486.0
18,2 x Ruddy,900,1555,2105,0.0366,0.3503,4.7562,0.341,1.3421,2.8022,0.3045,0.9084,-0.9891,271.388,194.924,489.0
19,2 x Rail,954,1610,2185,0.0346,0.349,4.7699,0.3372,1.3442,2.7993,0.3026,0.9117,-0.9992,270.494,195.568,491.0
20,2 x Ortolan,1033,1690,2295,0.0321,0.3475,4.7908,0.334,1.3438,2.8046,0.302,0.9129,-1.0066,269.323,196.418,493.0
21,2 x Bluejay,1113,1765,2400,0.0299,0.3462,4.8114,0.3317,1.3427,2.8122,0.3019,0.913,-1.0119,268.243,197.209,495.0
