,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,4 x Rail,954,3125,4225,0.0176,0.2688,6.2017,0.3102,1.1405,3.3868,208.19,1200.826,1387.0
1,4 x Ortolan,1033,3280,4435,0.0163,0.2681,6.2184,0.3083,1.1408,3.383,207.639,1204.013,1390.0
2,4 x Bluejay,1113,3425,4645,0.0152,0.2674,6.2356,0.3072,1.1402,3.3861,207.082,1207.251,1394.0
